68,IMVF - Instituto Marquês de Valle Flôr,Social,Portugal,www.imvf.org
69,IPAV - Instituto Padre António Vieira,Social,Portugal,www.ipav.pt
70,LD - Leigos para o Desenvolvimento,Social,Portugal,www.leigos.org
71,Médicos do Mundo,Saúde,Portugal,www.medicosdomundo.pt
72,Mundo a Sorrir - Associação de Médicos Dentistas Solidários Portugueses,Saúde,Portugal,www.mundoasorrir.org
73,Oikos - Cooperação e Desenvolvimento,Social,Portugal,www.oikos.pt
74,OMAS - Leigos Boa Nova - Obra Missionária de Ação Social - Leigos Boa Nova,Social,Portugal,leigos.boanova.pt
75,ORBIS Cooperação e Desenvolvimento,Social,Portugal,www.orbis.org.pt/orbis/
76,Rosto Solidário - Associação de Desenvolvimento Social e Humano,Social,Portugal,www.rostosolidario.pt
77,Saúde em Português,Saúde,Portugal,www.saudeportugues.org
78,SOLSEF - Sol Sem Fronteiras,Social,Portugal,www.solsef.org
79,SOPRO - Solidariedade e Promoção,Social,Portugal,www.sopro.org.pt
80,TESE - Associação para o Desenvolvimento,Social,Portugal,www.tese.org.pt
81,URB-ÁFRICA - ONG para a Cooperação e Desenvolvimento Urbano,Social,Portugal,www.uccla.pt
82,VIDA,Social,Portugal,www.vida.org.pt
83,PROSOCIAL - Associação Promotora de Instituições Sociais,Social,Portugal,https://prosocial.pt/
84,Associação AVOAR,Social,Portugal,www.avoar.org
85,Associação Ser Mais Valia,Social,Portugal,www.sermaisvalia.org
86,Karingana Wa Karingana - Associação,Social,Portugal,https://karingana.org/
87,Associação Horizontes,Social,Portugal,https://horizontesong.wixsite.com/ongd

